"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"mfeat-pixel","Fold_1","mlpML",0.3,0.6,1,1
"mfeat-pixel","Fold_1","mlpML",0.3,0.7,1,1
"mfeat-pixel","Fold_1","mlpML",0.3,0.75,1,1
"mfeat-pixel","Fold_1","mlpML",0.3,0.8,1,1
"mfeat-pixel","Fold_1","mlpML",0.3,0.9,1,1
"mfeat-pixel","Fold_1","mlpML",0.3,1,1,1
"mfeat-pixel","Fold_2","mlpML",0.1,0.1,1,1
"mfeat-pixel","Fold_2","mlpML",0.1,0.2,1,1
"mfeat-pixel","Fold_2","mlpML",0.1,0.25,1,1
"mfeat-pixel","Fold_2","mlpML",0.1,0.3,1,1
"mfeat-pixel","Fold_2","mlpML",0.1,0.4,1,1
"mfeat-pixel","Fold_2","mlpML",0.1,0.5,1,1
"mfeat-pixel","Fold_2","mlpML",0.1,0.6,1,1
"mfeat-pixel","Fold_2","mlpML",0.1,0.7,1,1
"mfeat-pixel","Fold_2","mlpML",0.1,0.75,1,1
"mfeat-pixel","Fold_2","mlpML",0.1,0.8,1,1
"mfeat-pixel","Fold_2","mlpML",0.1,0.9,1,1
"mfeat-pixel","Fold_2","mlpML",0.1,1,1,1
"mfeat-pixel","Fold_2","mlpML",0.2,0.1,0.9975,0.997216248756011
"mfeat-pixel","Fold_2","mlpML",0.2,0.2,0.9975,0.997216248756011
"mfeat-pixel","Fold_2","mlpML",0.2,0.25,0.9975,0.997216248756011
"mfeat-pixel","Fold_2","mlpML",0.2,0.3,0.9975,0.997216248756011
"mfeat-pixel","Fold_2","mlpML",0.2,0.4,0.9975,0.997216248756011
"mfeat-pixel","Fold_2","mlpML",0.2,0.5,0.9975,0.997216248756011
"mfeat-pixel","Fold_2","mlpML",0.2,0.6,0.9975,0.997216248756011
"mfeat-pixel","Fold_2","mlpML",0.2,0.7,0.9975,0.997216248756011
"mfeat-pixel","Fold_2","mlpML",0.2,0.75,0.9975,0.997216248756011
"mfeat-pixel","Fold_2","mlpML",0.2,0.8,0.9975,0.997216248756011
"mfeat-pixel","Fold_2","mlpML",0.2,0.9,0.9975,0.997216248756011
"mfeat-pixel","Fold_2","mlpML",0.2,1,0.9975,0.997216248756011
"mfeat-pixel","Fold_2","mlpML",0.3,0.1,1,1
"mfeat-pixel","Fold_2","mlpML",0.3,0.2,0.9975,0.997157657625649
"mfeat-pixel","Fold_2","mlpML",0.3,0.25,0.9975,0.997157657625649
"mfeat-pixel","Fold_2","mlpML",0.3,0.3,0.9975,0.997157657625649
"mfeat-pixel","Fold_2","mlpML",0.3,0.4,0.9975,0.997157657625649
"mfeat-pixel","Fold_2","mlpML",0.3,0.5,0.9975,0.997157657625649
"mfeat-pixel","Fold_2","mlpML",0.3,0.6,0.9975,0.997157657625649
"mfeat-pixel","Fold_2","mlpML",0.3,0.7,0.9975,0.997157657625649
"mfeat-pixel","Fold_2","mlpML",0.3,0.75,0.9975,0.997157657625649
"mfeat-pixel","Fold_2","mlpML",0.3,0.8,0.9975,0.997157657625649
"mfeat-pixel","Fold_2","mlpML",0.3,0.9,0.9975,0.997157657625649
"mfeat-pixel","Fold_2","mlpML",0.3,1,0.995,0.994317051686415
"mfeat-pixel","Fold_3","mlpML",0.1,0.1,1,1
"mfeat-pixel","Fold_3","mlpML",0.1,0.2,1,1
"mfeat-pixel","Fold_3","mlpML",0.1,0.25,1,1
"mfeat-pixel","Fold_3","mlpML",0.1,0.3,1,1
"mfeat-pixel","Fold_3","mlpML",0.1,0.4,1,1
"mfeat-pixel","Fold_3","mlpML",0.1,0.5,1,1
"mfeat-pixel","Fold_3","mlpML",0.1,0.6,1,1
"mfeat-pixel","Fold_3","mlpML",0.1,0.7,1,1
"mfeat-pixel","Fold_3","mlpML",0.1,0.75,1,1
"mfeat-pixel","Fold_3","mlpML",0.1,0.8,1,1
"mfeat-pixel","Fold_3","mlpML",0.1,0.9,1,1
"mfeat-pixel","Fold_3","mlpML",0.1,1,1,1
"mfeat-pixel","Fold_3","mlpML",0.2,0.1,1,1
"mfeat-pixel","Fold_3","mlpML",0.2,0.2,1,1
"mfeat-pixel","Fold_3","mlpML",0.2,0.25,1,1
"mfeat-pixel","Fold_3","mlpML",0.2,0.3,1,1
"mfeat-pixel","Fold_3","mlpML",0.2,0.4,1,1
"mfeat-pixel","Fold_3","mlpML",0.2,0.5,1,1
"mfeat-pixel","Fold_3","mlpML",0.2,0.6,1,1
"mfeat-pixel","Fold_3","mlpML",0.2,0.7,1,1
"mfeat-pixel","Fold_3","mlpML",0.2,0.75,1,1
"mfeat-pixel","Fold_3","mlpML",0.2,0.8,1,1
"mfeat-pixel","Fold_3","mlpML",0.2,0.9,1,1
"mfeat-pixel","Fold_3","mlpML",0.2,1,0.9975,0.997052603656245
"mfeat-pixel","Fold_3","mlpML",0.3,0.1,1,1
"mfeat-pixel","Fold_3","mlpML",0.3,0.2,1,1
"mfeat-pixel","Fold_3","mlpML",0.3,0.25,1,1
"mfeat-pixel","Fold_3","mlpML",0.3,0.3,1,1
"mfeat-pixel","Fold_3","mlpML",0.3,0.4,1,1
"mfeat-pixel","Fold_3","mlpML",0.3,0.5,1,1
"mfeat-pixel","Fold_3","mlpML",0.3,0.6,1,1
"mfeat-pixel","Fold_3","mlpML",0.3,0.7,1,1
"mfeat-pixel","Fold_3","mlpML",0.3,0.75,1,1
"mfeat-pixel","Fold_3","mlpML",0.3,0.8,1,1
"mfeat-pixel","Fold_3","mlpML",0.3,0.9,1,1
"mfeat-pixel","Fold_3","mlpML",0.3,1,1,1
"mfeat-pixel","Fold_4","mlpML",0.1,0.1,1,1
"mfeat-pixel","Fold_4","mlpML",0.1,0.2,1,1
"mfeat-pixel","Fold_4","mlpML",0.1,0.25,1,1
"mfeat-pixel","Fold_4","mlpML",0.1,0.3,1,1
"mfeat-pixel","Fold_4","mlpML",0.1,0.4,1,1
"mfeat-pixel","Fold_4","mlpML",0.1,0.5,1,1
"mfeat-pixel","Fold_4","mlpML",0.1,0.6,1,1
"mfeat-pixel","Fold_4","mlpML",0.1,0.7,1,1
"mfeat-pixel","Fold_4","mlpML",0.1,0.75,1,1
"mfeat-pixel","Fold_4","mlpML",0.1,0.8,1,1
"mfeat-pixel","Fold_4","mlpML",0.1,0.9,1,1
"mfeat-pixel","Fold_4","mlpML",0.1,1,1,1
"mfeat-pixel","Fold_4","mlpML",0.2,0.1,1,1
"mfeat-pixel","Fold_4","mlpML",0.2,0.2,1,1
"mfeat-pixel","Fold_4","mlpML",0.2,0.25,1,1
"mfeat-pixel","Fold_4","mlpML",0.2,0.3,1,1
"mfeat-pixel","Fold_4","mlpML",0.2,0.4,1,1
"mfeat-pixel","Fold_4","mlpML",0.2,0.5,1,1
"mfeat-pixel","Fold_4","mlpML",0.2,0.6,1,1
"mfeat-pixel","Fold_4","mlpML",0.2,0.7,1,1
"mfeat-pixel","Fold_4","mlpML",0.2,0.75,1,1
"mfeat-pixel","Fold_4","mlpML",0.2,0.8,1,1
"mfeat-pixel","Fold_4","mlpML",0.2,0.9,1,1
"mfeat-pixel","Fold_4","mlpML",0.2,1,1,1
"mfeat-pixel","Fold_4","mlpML",0.3,0.1,1,1
"mfeat-pixel","Fold_4","mlpML",0.3,0.2,1,1
"mfeat-pixel","Fold_4","mlpML",0.3,0.25,1,1
"mfeat-pixel","Fold_4","mlpML",0.3,0.3,1,1
"mfeat-pixel","Fold_4","mlpML",0.3,0.4,1,1
"mfeat-pixel","Fold_4","mlpML",0.3,0.5,1,1
"mfeat-pixel","Fold_4","mlpML",0.3,0.6,1,1
"mfeat-pixel","Fold_4","mlpML",0.3,0.7,1,1
"mfeat-pixel","Fold_4","mlpML",0.3,0.75,1,1
"mfeat-pixel","Fold_4","mlpML",0.3,0.8,1,1
"mfeat-pixel","Fold_4","mlpML",0.3,0.9,1,1
"mfeat-pixel","Fold_4","mlpML",0.3,1,1,1
"mfeat-pixel","Fold_5","mlpML",0.1,0.1,1,1
"mfeat-pixel","Fold_5","mlpML",0.1,0.2,1,1
"mfeat-pixel","Fold_5","mlpML",0.1,0.25,1,1
"mfeat-pixel","Fold_5","mlpML",0.1,0.3,1,1
"mfeat-pixel","Fold_5","mlpML",0.1,0.4,1,1
"mfeat-pixel","Fold_5","mlpML",0.1,0.5,1,1
"mfeat-pixel","Fold_5","mlpML",0.1,0.6,1,1
"mfeat-pixel","Fold_5","mlpML",0.1,0.7,1,1
"mfeat-pixel","Fold_5","mlpML",0.1,0.75,1,1
"mfeat-pixel","Fold_5","mlpML",0.1,0.8,1,1
"mfeat-pixel","Fold_5","mlpML",0.1,0.9,1,1
"mfeat-pixel","Fold_5","mlpML",0.1,1,1,1
"mfeat-pixel","Fold_5","mlpML",0.2,0.1,1,1
"mfeat-pixel","Fold_5","mlpML",0.2,0.2,1,1
"mfeat-pixel","Fold_5","mlpML",0.2,0.25,1,1
"mfeat-pixel","Fold_5","mlpML",0.2,0.3,1,1
"mfeat-pixel","Fold_5","mlpML",0.2,0.4,1,1
"mfeat-pixel","Fold_5","mlpML",0.2,0.5,1,1
"mfeat-pixel","Fold_5","mlpML",0.2,0.6,1,1
"mfeat-pixel","Fold_5","mlpML",0.2,0.7,1,1
"mfeat-pixel","Fold_5","mlpML",0.2,0.75,1,1
"mfeat-pixel","Fold_5","mlpML",0.2,0.8,1,1
"mfeat-pixel","Fold_5","mlpML",0.2,0.9,1,1
"mfeat-pixel","Fold_5","mlpML",0.2,1,1,1
"mfeat-pixel","Fold_5","mlpML",0.3,0.1,1,1
"mfeat-pixel","Fold_5","mlpML",0.3,0.2,1,1
"mfeat-pixel","Fold_5","mlpML",0.3,0.25,1,1
"mfeat-pixel","Fold_5","mlpML",0.3,0.3,1,1
"mfeat-pixel","Fold_5","mlpML",0.3,0.4,0.9975,0.997160804911808
"mfeat-pixel","Fold_5","mlpML",0.3,0.5,0.9975,0.997160804911808
"mfeat-pixel","Fold_5","mlpML",0.3,0.6,0.9975,0.997160804911808
"mfeat-pixel","Fold_5","mlpML",0.3,0.7,0.9975,0.997160804911808
"mfeat-pixel","Fold_5","mlpML",0.3,0.75,0.9975,0.997160804911808
"mfeat-pixel","Fold_5","mlpML",0.3,0.8,0.9975,0.997160804911808
"mfeat-pixel","Fold_5","mlpML",0.3,0.9,0.9975,0.997160804911808
"mfeat-pixel","Fold_5","mlpML",0.3,1,0.9975,0.997160804911808
