"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"mfeat-pixel","Fold_4","bayesglm",0.3,0.6,1,1
"mfeat-pixel","Fold_4","bayesglm",0.3,0.7,1,1
"mfeat-pixel","Fold_4","bayesglm",0.3,0.75,1,1
"mfeat-pixel","Fold_4","bayesglm",0.3,0.8,1,1
"mfeat-pixel","Fold_4","bayesglm",0.3,0.9,1,1
"mfeat-pixel","Fold_4","bayesglm",0.3,1,1,1
"mfeat-pixel","Fold_4","bayesglm",0.4,0.1,1,1
"mfeat-pixel","Fold_4","bayesglm",0.4,0.2,1,1
"mfeat-pixel","Fold_4","bayesglm",0.4,0.25,1,1
"mfeat-pixel","Fold_4","bayesglm",0.4,0.3,1,1
"mfeat-pixel","Fold_4","bayesglm",0.4,0.4,1,1
"mfeat-pixel","Fold_4","bayesglm",0.4,0.5,1,1
"mfeat-pixel","Fold_4","bayesglm",0.4,0.6,1,1
"mfeat-pixel","Fold_4","bayesglm",0.4,0.7,1,1
"mfeat-pixel","Fold_4","bayesglm",0.4,0.75,1,1
"mfeat-pixel","Fold_4","bayesglm",0.4,0.8,1,1
"mfeat-pixel","Fold_4","bayesglm",0.4,0.9,1,1
"mfeat-pixel","Fold_4","bayesglm",0.4,1,1,1
"mfeat-pixel","Fold_4","bayesglm",0.5,0.1,1,1
"mfeat-pixel","Fold_4","bayesglm",0.5,0.2,1,1
"mfeat-pixel","Fold_4","bayesglm",0.5,0.25,1,1
"mfeat-pixel","Fold_4","bayesglm",0.5,0.3,1,1
"mfeat-pixel","Fold_4","bayesglm",0.5,0.4,1,1
"mfeat-pixel","Fold_4","bayesglm",0.5,0.5,1,1
"mfeat-pixel","Fold_4","bayesglm",0.5,0.6,1,1
"mfeat-pixel","Fold_4","bayesglm",0.5,0.7,1,1
"mfeat-pixel","Fold_4","bayesglm",0.5,0.75,1,1
"mfeat-pixel","Fold_4","bayesglm",0.5,0.8,1,1
"mfeat-pixel","Fold_4","bayesglm",0.5,0.9,1,1
"mfeat-pixel","Fold_4","bayesglm",0.5,1,1,1
"mfeat-pixel","Fold_4","bayesglm",0.6,0.1,1,1
"mfeat-pixel","Fold_4","bayesglm",0.6,0.2,1,1
"mfeat-pixel","Fold_4","bayesglm",0.6,0.25,1,1
"mfeat-pixel","Fold_4","bayesglm",0.6,0.3,1,1
"mfeat-pixel","Fold_4","bayesglm",0.6,0.4,1,1
"mfeat-pixel","Fold_4","bayesglm",0.6,0.5,1,1
"mfeat-pixel","Fold_4","bayesglm",0.6,0.6,1,1
"mfeat-pixel","Fold_4","bayesglm",0.6,0.7,1,1
"mfeat-pixel","Fold_4","bayesglm",0.6,0.75,1,1
"mfeat-pixel","Fold_4","bayesglm",0.6,0.8,1,1
"mfeat-pixel","Fold_4","bayesglm",0.6,0.9,1,1
"mfeat-pixel","Fold_4","bayesglm",0.6,1,1,1
"mfeat-pixel","Fold_4","bayesglm",0.7,0.1,1,1
"mfeat-pixel","Fold_4","bayesglm",0.7,0.2,1,1
"mfeat-pixel","Fold_4","bayesglm",0.7,0.25,1,1
"mfeat-pixel","Fold_4","bayesglm",0.7,0.3,1,1
"mfeat-pixel","Fold_4","bayesglm",0.7,0.4,1,1
"mfeat-pixel","Fold_4","bayesglm",0.7,0.5,1,1
"mfeat-pixel","Fold_4","bayesglm",0.7,0.6,1,1
"mfeat-pixel","Fold_4","bayesglm",0.7,0.7,0.9975,0.986557332974862
"mfeat-pixel","Fold_4","bayesglm",0.7,0.75,0.9975,0.986557332974862
"mfeat-pixel","Fold_4","bayesglm",0.7,0.8,0.9975,0.986557332974862
"mfeat-pixel","Fold_4","bayesglm",0.7,0.9,0.9975,0.986557332974862
"mfeat-pixel","Fold_4","bayesglm",0.7,1,0.9975,0.986557332974862
"mfeat-pixel","Fold_4","bayesglm",0.8,0.1,0.9975,0.986263736263737
"mfeat-pixel","Fold_4","bayesglm",0.8,0.2,0.9975,0.986263736263737
"mfeat-pixel","Fold_4","bayesglm",0.8,0.25,0.9975,0.986263736263737
"mfeat-pixel","Fold_4","bayesglm",0.8,0.3,0.9975,0.986263736263737
"mfeat-pixel","Fold_4","bayesglm",0.8,0.4,0.9975,0.986263736263737
"mfeat-pixel","Fold_4","bayesglm",0.8,0.5,0.9975,0.986263736263737
"mfeat-pixel","Fold_4","bayesglm",0.8,0.6,0.9975,0.986263736263737
"mfeat-pixel","Fold_4","bayesglm",0.8,0.7,0.9975,0.986263736263737
"mfeat-pixel","Fold_4","bayesglm",0.8,0.75,0.995,0.972824240777227
"mfeat-pixel","Fold_4","bayesglm",0.8,0.8,0.995,0.972824240777227
"mfeat-pixel","Fold_4","bayesglm",0.8,0.9,0.995,0.972824240777227
"mfeat-pixel","Fold_4","bayesglm",0.8,1,0.995,0.972824240777227
"mfeat-pixel","Fold_4","bayesglm",0.9,0.1,1,1
"mfeat-pixel","Fold_4","bayesglm",0.9,0.2,1,1
"mfeat-pixel","Fold_4","bayesglm",0.9,0.25,1,1
"mfeat-pixel","Fold_4","bayesglm",0.9,0.3,1,1
"mfeat-pixel","Fold_4","bayesglm",0.9,0.4,1,1
"mfeat-pixel","Fold_4","bayesglm",0.9,0.5,1,1
"mfeat-pixel","Fold_4","bayesglm",0.9,0.6,1,1
"mfeat-pixel","Fold_4","bayesglm",0.9,0.7,1,1
"mfeat-pixel","Fold_4","bayesglm",0.9,0.75,1,1
"mfeat-pixel","Fold_4","bayesglm",0.9,0.8,1,1
"mfeat-pixel","Fold_4","bayesglm",0.9,0.9,1,1
"mfeat-pixel","Fold_4","bayesglm",0.9,1,1,1
"mfeat-pixel","Fold_4","bayesglm",1,0.1,0.9975,0.986263736263737
"mfeat-pixel","Fold_4","bayesglm",1,0.2,0.9975,0.986263736263737
"mfeat-pixel","Fold_4","bayesglm",1,0.25,0.9975,0.986263736263737
"mfeat-pixel","Fold_4","bayesglm",1,0.3,0.9975,0.986263736263737
"mfeat-pixel","Fold_4","bayesglm",1,0.4,0.9975,0.986263736263737
"mfeat-pixel","Fold_4","bayesglm",1,0.5,0.9975,0.986263736263737
"mfeat-pixel","Fold_4","bayesglm",1,0.6,0.9975,0.986263736263737
"mfeat-pixel","Fold_4","bayesglm",1,0.7,0.9975,0.986263736263737
"mfeat-pixel","Fold_4","bayesglm",1,0.75,0.995,0.972824240777227
"mfeat-pixel","Fold_4","bayesglm",1,0.8,0.995,0.972824240777227
"mfeat-pixel","Fold_4","bayesglm",1,0.9,0.995,0.972824240777227
"mfeat-pixel","Fold_4","bayesglm",1,1,0.995,0.972824240777227
"mfeat-pixel","Fold_5","bayesglm",0.1,0.1,1,1
"mfeat-pixel","Fold_5","bayesglm",0.1,0.2,1,1
"mfeat-pixel","Fold_5","bayesglm",0.1,0.25,1,1
"mfeat-pixel","Fold_5","bayesglm",0.1,0.3,1,1
"mfeat-pixel","Fold_5","bayesglm",0.1,0.4,1,1
"mfeat-pixel","Fold_5","bayesglm",0.1,0.5,1,1
"mfeat-pixel","Fold_5","bayesglm",0.1,0.6,1,1
"mfeat-pixel","Fold_5","bayesglm",0.1,0.7,1,1
"mfeat-pixel","Fold_5","bayesglm",0.1,0.75,1,1
"mfeat-pixel","Fold_5","bayesglm",0.1,0.8,1,1
"mfeat-pixel","Fold_5","bayesglm",0.1,0.9,1,1
"mfeat-pixel","Fold_5","bayesglm",0.1,1,1,1
"mfeat-pixel","Fold_5","bayesglm",0.2,0.1,1,1
"mfeat-pixel","Fold_5","bayesglm",0.2,0.2,1,1
"mfeat-pixel","Fold_5","bayesglm",0.2,0.25,1,1
"mfeat-pixel","Fold_5","bayesglm",0.2,0.3,1,1
"mfeat-pixel","Fold_5","bayesglm",0.2,0.4,1,1
"mfeat-pixel","Fold_5","bayesglm",0.2,0.5,1,1
"mfeat-pixel","Fold_5","bayesglm",0.2,0.6,1,1
"mfeat-pixel","Fold_5","bayesglm",0.2,0.7,1,1
"mfeat-pixel","Fold_5","bayesglm",0.2,0.75,1,1
"mfeat-pixel","Fold_5","bayesglm",0.2,0.8,1,1
"mfeat-pixel","Fold_5","bayesglm",0.2,0.9,1,1
"mfeat-pixel","Fold_5","bayesglm",0.2,1,1,1
"mfeat-pixel","Fold_5","bayesglm",0.3,0.1,1,1
"mfeat-pixel","Fold_5","bayesglm",0.3,0.2,1,1
"mfeat-pixel","Fold_5","bayesglm",0.3,0.25,1,1
"mfeat-pixel","Fold_5","bayesglm",0.3,0.3,1,1
"mfeat-pixel","Fold_5","bayesglm",0.3,0.4,1,1
"mfeat-pixel","Fold_5","bayesglm",0.3,0.5,1,1
"mfeat-pixel","Fold_5","bayesglm",0.3,0.6,1,1
"mfeat-pixel","Fold_5","bayesglm",0.3,0.7,1,1
"mfeat-pixel","Fold_5","bayesglm",0.3,0.75,1,1
"mfeat-pixel","Fold_5","bayesglm",0.3,0.8,1,1
"mfeat-pixel","Fold_5","bayesglm",0.3,0.9,1,1
"mfeat-pixel","Fold_5","bayesglm",0.3,1,1,1
"mfeat-pixel","Fold_5","bayesglm",0.4,0.1,1,1
"mfeat-pixel","Fold_5","bayesglm",0.4,0.2,1,1
"mfeat-pixel","Fold_5","bayesglm",0.4,0.25,1,1
"mfeat-pixel","Fold_5","bayesglm",0.4,0.3,1,1
"mfeat-pixel","Fold_5","bayesglm",0.4,0.4,1,1
"mfeat-pixel","Fold_5","bayesglm",0.4,0.5,1,1
"mfeat-pixel","Fold_5","bayesglm",0.4,0.6,1,1
"mfeat-pixel","Fold_5","bayesglm",0.4,0.7,1,1
"mfeat-pixel","Fold_5","bayesglm",0.4,0.75,1,1
"mfeat-pixel","Fold_5","bayesglm",0.4,0.8,1,1
"mfeat-pixel","Fold_5","bayesglm",0.4,0.9,1,1
"mfeat-pixel","Fold_5","bayesglm",0.4,1,1,1
"mfeat-pixel","Fold_5","bayesglm",0.5,0.1,1,1
"mfeat-pixel","Fold_5","bayesglm",0.5,0.2,1,1
"mfeat-pixel","Fold_5","bayesglm",0.5,0.25,1,1
"mfeat-pixel","Fold_5","bayesglm",0.5,0.3,1,1
"mfeat-pixel","Fold_5","bayesglm",0.5,0.4,1,1
"mfeat-pixel","Fold_5","bayesglm",0.5,0.5,1,1
"mfeat-pixel","Fold_5","bayesglm",0.5,0.6,1,1
"mfeat-pixel","Fold_5","bayesglm",0.5,0.7,1,1
"mfeat-pixel","Fold_5","bayesglm",0.5,0.75,1,1
"mfeat-pixel","Fold_5","bayesglm",0.5,0.8,1,1
"mfeat-pixel","Fold_5","bayesglm",0.5,0.9,1,1
"mfeat-pixel","Fold_5","bayesglm",0.5,1,1,1
"mfeat-pixel","Fold_5","bayesglm",0.6,0.1,1,1
"mfeat-pixel","Fold_5","bayesglm",0.6,0.2,1,1
"mfeat-pixel","Fold_5","bayesglm",0.6,0.25,1,1
"mfeat-pixel","Fold_5","bayesglm",0.6,0.3,1,1
"mfeat-pixel","Fold_5","bayesglm",0.6,0.4,1,1
"mfeat-pixel","Fold_5","bayesglm",0.6,0.5,1,1
"mfeat-pixel","Fold_5","bayesglm",0.6,0.6,1,1
"mfeat-pixel","Fold_5","bayesglm",0.6,0.7,1,1
"mfeat-pixel","Fold_5","bayesglm",0.6,0.75,1,1
"mfeat-pixel","Fold_5","bayesglm",0.6,0.8,1,1
"mfeat-pixel","Fold_5","bayesglm",0.6,0.9,1,1
"mfeat-pixel","Fold_5","bayesglm",0.6,1,1,1
"mfeat-pixel","Fold_5","bayesglm",0.7,0.1,1,1
"mfeat-pixel","Fold_5","bayesglm",0.7,0.2,1,1
"mfeat-pixel","Fold_5","bayesglm",0.7,0.25,1,1
"mfeat-pixel","Fold_5","bayesglm",0.7,0.3,1,1
"mfeat-pixel","Fold_5","bayesglm",0.7,0.4,1,1
"mfeat-pixel","Fold_5","bayesglm",0.7,0.5,1,1
"mfeat-pixel","Fold_5","bayesglm",0.7,0.6,1,1
"mfeat-pixel","Fold_5","bayesglm",0.7,0.7,1,1
"mfeat-pixel","Fold_5","bayesglm",0.7,0.75,1,1
"mfeat-pixel","Fold_5","bayesglm",0.7,0.8,1,1
"mfeat-pixel","Fold_5","bayesglm",0.7,0.9,1,1
"mfeat-pixel","Fold_5","bayesglm",0.7,1,1,1
"mfeat-pixel","Fold_5","bayesglm",0.8,0.1,1,1
"mfeat-pixel","Fold_5","bayesglm",0.8,0.2,1,1
"mfeat-pixel","Fold_5","bayesglm",0.8,0.25,1,1
"mfeat-pixel","Fold_5","bayesglm",0.8,0.3,1,1
"mfeat-pixel","Fold_5","bayesglm",0.8,0.4,1,1
"mfeat-pixel","Fold_5","bayesglm",0.8,0.5,1,1
"mfeat-pixel","Fold_5","bayesglm",0.8,0.6,1,1
"mfeat-pixel","Fold_5","bayesglm",0.8,0.7,1,1
"mfeat-pixel","Fold_5","bayesglm",0.8,0.75,1,1
"mfeat-pixel","Fold_5","bayesglm",0.8,0.8,1,1
"mfeat-pixel","Fold_5","bayesglm",0.8,0.9,1,1
"mfeat-pixel","Fold_5","bayesglm",0.8,1,1,1
"mfeat-pixel","Fold_5","bayesglm",0.9,0.1,1,1
"mfeat-pixel","Fold_5","bayesglm",0.9,0.2,1,1
"mfeat-pixel","Fold_5","bayesglm",0.9,0.25,1,1
"mfeat-pixel","Fold_5","bayesglm",0.9,0.3,1,1
"mfeat-pixel","Fold_5","bayesglm",0.9,0.4,1,1
"mfeat-pixel","Fold_5","bayesglm",0.9,0.5,1,1
"mfeat-pixel","Fold_5","bayesglm",0.9,0.6,1,1
"mfeat-pixel","Fold_5","bayesglm",0.9,0.7,1,1
"mfeat-pixel","Fold_5","bayesglm",0.9,0.75,1,1
"mfeat-pixel","Fold_5","bayesglm",0.9,0.8,1,1
"mfeat-pixel","Fold_5","bayesglm",0.9,0.9,1,1
"mfeat-pixel","Fold_5","bayesglm",0.9,1,1,1
"mfeat-pixel","Fold_5","bayesglm",1,0.1,1,1
"mfeat-pixel","Fold_5","bayesglm",1,0.2,1,1
"mfeat-pixel","Fold_5","bayesglm",1,0.25,1,1
"mfeat-pixel","Fold_5","bayesglm",1,0.3,1,1
"mfeat-pixel","Fold_5","bayesglm",1,0.4,1,1
"mfeat-pixel","Fold_5","bayesglm",1,0.5,1,1
"mfeat-pixel","Fold_5","bayesglm",1,0.6,1,1
"mfeat-pixel","Fold_5","bayesglm",1,0.7,1,1
"mfeat-pixel","Fold_5","bayesglm",1,0.75,1,1
"mfeat-pixel","Fold_5","bayesglm",1,0.8,1,1
"mfeat-pixel","Fold_5","bayesglm",1,0.9,1,1
"mfeat-pixel","Fold_5","bayesglm",1,1,1,1
